Stock,Spy,Ticker,Sector,Group,#
http://real-chart.finance.yahoo.com/table.csv?s=KMX&d=7&e=4&f=2014&g=d&a=4&b=8&c=2014&ignore=.csv,http://real-chart.finance.yahoo.com/table.csv?s=SPY&d=7&e=4&f=2014&g=d&a=4&b=8&c=2014&ignore=.csv,KMX,Consumer Discretionary,1,#
http://real-chart.finance.yahoo.com/table.csv?s=CCL&d=7&e=6&f=2014&g=d&a=4&b=12&c=2014&ignore=.csv,http://real-chart.finance.yahoo.com/table.csv?s=SPY&d=7&e=6&f=2014&g=d&a=4&b=12&c=2014&ignore=.csv,CCL,Consumer Discretionary,1,#
http://real-chart.finance.yahoo.com/table.csv?s=LEN&d=7&e=8&f=2014&g=d&a=4&b=14&c=2014&ignore=.csv,http://real-chart.finance.yahoo.com/table.csv?s=SPY&d=7&e=8&f=2014&g=d&a=4&b=14&c=2014&ignore=.csv,LEN,Consumer Discretionary,1,#
http://real-chart.finance.yahoo.com/table.csv?s=NKE&d=7&e=8&f=2014&g=d&a=4&b=14&c=2014&ignore=.csv,http://real-chart.finance.yahoo.com/table.csv?s=SPY&d=7&e=8&f=2014&g=d&a=4&b=14&c=2014&ignore=.csv,NKE,Consumer Discretionary,1,#
http://real-chart.finance.yahoo.com/table.csv?s=BWA&d=8&e=12&f=2014&g=d&a=5&b=18&c=2014&ignore=.csv,http://real-chart.finance.yahoo.com/table.csv?s=SPY&d=8&e=12&f=2014&g=d&a=5&b=18&c=2014&ignore=.csv,BWA,Consumer Discretionary,1,#
http://real-chart.finance.yahoo.com/table.csv?s=CVC&d=8&e=17&f=2014&g=d&a=5&b=23&c=2014&ignore=.csv,http://real-chart.finance.yahoo.com/table.csv?s=SPY&d=8&e=17&f=2014&g=d&a=5&b=23&c=2014&ignore=.csv,CVC,Consumer Discretionary,1,#
http://real-chart.finance.yahoo.com/table.csv?s=CBS&d=8&e=19&f=2014&g=d&a=5&b=25&c=2014&ignore=.csv,http://real-chart.finance.yahoo.com/table.csv?s=SPY&d=8&e=19&f=2014&g=d&a=5&b=25&c=2014&ignore=.csv,CBS,Consumer Discretionary,1,#
http://real-chart.finance.yahoo.com/table.csv?s=ACE&d=8&e=3&f=2014&g=d&a=5&b=9&c=2014&ignore=.csv,http://real-chart.finance.yahoo.com/table.csv?s=SPY&d=8&e=3&f=2014&g=d&a=5&b=9&c=2014&ignore=.csv,ACE,Financials,1,#
http://real-chart.finance.yahoo.com/table.csv?s=AFL&d=8&e=10&f=2014&g=d&a=5&b=16&c=2014&ignore=.csv,http://real-chart.finance.yahoo.com/table.csv?s=SPY&d=8&e=10&f=2014&g=d&a=5&b=16&c=2014&ignore=.csv,AFL,Financials,1,#
http://real-chart.finance.yahoo.com/table.csv?s=AMG&d=8&e=10&f=2014&g=d&a=5&b=16&c=2014&ignore=.csv,http://real-chart.finance.yahoo.com/table.csv?s=SPY&d=8&e=10&f=2014&g=d&a=5&b=16&c=2014&ignore=.csv,AMG,Financials,1,#
http://real-chart.finance.yahoo.com/table.csv?s=ALL&d=8&e=11&f=2014&g=d&a=5&b=17&c=2014&ignore=.csv,http://real-chart.finance.yahoo.com/table.csv?s=SPY&d=8&e=11&f=2014&g=d&a=5&b=17&c=2014&ignore=.csv,ALL,Financials,1,#
http://real-chart.finance.yahoo.com/table.csv?s=AXP&d=8&e=10&f=2014&g=d&a=5&b=16&c=2014&ignore=.csv,http://real-chart.finance.yahoo.com/table.csv?s=SPY&d=8&e=10&f=2014&g=d&a=5&b=16&c=2014&ignore=.csv,AXP,Financials,1,#
http://real-chart.finance.yahoo.com/table.csv?s=AIG&d=8&e=16&f=2014&g=d&a=5&b=20&c=2014&ignore=.csv,http://real-chart.finance.yahoo.com/table.csv?s=SPY&d=8&e=16&f=2014&g=d&a=5&b=20&c=2014&ignore=.csv,AIG,Financials,1,#
http://real-chart.finance.yahoo.com/table.csv?s=AMT&d=8&e=11&f=2014&g=d&a=5&b=17&c=2014&ignore=.csv,http://real-chart.finance.yahoo.com/table.csv?s=SPY&d=8&e=11&f=2014&g=d&a=5&b=17&c=2014&ignore=.csv,AMT,Financials,1,#
http://real-chart.finance.yahoo.com/table.csv?s=CTAS&d=7&e=26&f=2014&g=d&a=5&b=2&c=2014&ignore=.csv,http://real-chart.finance.yahoo.com/table.csv?s=SPY&d=7&e=26&f=2014&g=d&a=5&b=2&c=2014&ignore=.csv,CTAS,Industrials,1,#
http://real-chart.finance.yahoo.com/table.csv?s=FDX&d=6&e=31&f=2014&g=d&a=4&b=6&c=2014&ignore=.csv,http://real-chart.finance.yahoo.com/table.csv?s=SPY&d=6&e=31&f=2014&g=d&a=4&b=6&c=2014&ignore=.csv,FDX,Industrials,1,#
http://real-chart.finance.yahoo.com/table.csv?s=ADT&d=8&e=11&f=2014&g=d&a=5&b=17&c=2014&ignore=.csv,http://real-chart.finance.yahoo.com/table.csv?s=SPY&d=8&e=11&f=2014&g=d&a=5&b=17&c=2014&ignore=.csv,ADT,Industrials,1,#
http://real-chart.finance.yahoo.com/table.csv?s=AME&d=8&e=17&f=2014&g=d&a=5&b=23&c=2014&ignore=.csv,http://real-chart.finance.yahoo.com/table.csv?s=SPY&d=8&e=17&f=2014&g=d&a=5&b=23&c=2014&ignore=.csv,AME,Industrials,1,#
http://real-chart.finance.yahoo.com/table.csv?s=APH&d=8&e=4&f=2014&g=d&a=5&b=10&c=2014&ignore=.csv,http://real-chart.finance.yahoo.com/table.csv?s=SPY&d=8&e=4&f=2014&g=d&a=5&b=10&c=2014&ignore=.csv,APH,Industrials,1,#
http://real-chart.finance.yahoo.com/table.csv?s=BA&d=8&e=4&f=2014&g=d&a=5&b=10&c=2014&ignore=.csv,http://real-chart.finance.yahoo.com/table.csv?s=SPY&d=8&e=4&f=2014&g=d&a=5&b=10&c=2014&ignore=.csv,BA,Industrials,1,#
http://real-chart.finance.yahoo.com/table.csv?s=CHRW&d=8&e=10&f=2014&g=d&a=5&b=16&c=2014&ignore=.csv,http://real-chart.finance.yahoo.com/table.csv?s=SPY&d=8&e=10&f=2014&g=d&a=5&b=16&c=2014&ignore=.csv,CHRW,Industrials,1,#
http://real-chart.finance.yahoo.com/table.csv?s=CAT&d=8&e=5&f=2014&g=d&a=5&b=11&c=2014&ignore=.csv,http://real-chart.finance.yahoo.com/table.csv?s=SPY&d=8&e=5&f=2014&g=d&a=5&b=11&c=2014&ignore=.csv,CAT,Industrials,1,#
